"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"2","ML.7316.rep1","CAMROT","ZIZAUR","ECHPUR","DESILL","ANECYL","PHYVIR","OENPIL","SILLAC","PYCTEN","ZIZAPT","HYPPUN","ASCSYR","OLIRIG","CXBLAN","AGANEP","GL","Total B"
"151","","93.8","0","5.4","5","4.5","19.3","0","5","11.8","880.4","0","313.9","13.9","23.7","5","37.6","Tot. Weight"
"152","","21.2","0","4.2","4.3","4.3","11.2","0","4.3","4.2","96.4","0","48.4","4.3","4.3","4.3","11.2","Bag Weight"
"158","","4.8","","168","","","4.3","61.4","39","40.7","12.7","615.2","6.8","9.6","4.8","9","116.4","Tot. Weight"
"159","","4.3","","21.4","","","4.3","11.2","11.2","15.5","4.3","70.9","4.3","4.2","4.3","4.3","11.1","Bag Weight"
"165","","129.5","303.9","","8.3","53.3","68.9","5.1","","289.4","15.9","","119.9","96.5","","4.5","33.5","Tot. Weight"
"166","","21.3","48.1","","4.2","21.3","21.2","4.3","","69.2","11.2","","21.3","11.3","","4.2","4.3","Bag Weight"
"175","","","234.6","33.6","8.6","4.8","48.8","","6.2","5.6","10.3","6.3","89.1","","55.4","11.7","45.6","Tot. Weight"
"176","","","48.3","8.5","4.3","4.3","11.3","","4.3","4.3","4.2","4.3","21.4","","11.2","4.2","11.1","Bag Weight"
"188","","4.7","5.4","5.4","41.8","","57.7","43.6","6","12.8","21.8","7","16.5","74.4","","","36.4","Tot. Weight"
"189","","4.2","4.3","4.3","11.3","","11.2","11.1","4.2","4.3","11.3","4.3","4.2","11.2","","","4.2","Bag Weight"
"193","","","55.5","7.6","252.7","16.8","8.9","36.2","7.2","","","6.1","41.8","","201","","0","Tot. Weight"
"194","","","11.3","4.2","49.5","4.3","4.3","11.2","4.3","","","4.2","11.3","","21.4","","0","Bag Weight"
"202","","","33.4","4.3","150.2","27.3","6.2","71.5","189.3","","5.2","","30.3","102","5","111.3","24.4","Tot. Weight"
"203","","","8.6","4.2","11.2","11.2","4.3","22.4","25.5","","4.3","","11.1","22.4","4.3","32.4","11.2","Bag Weight"
"206","","15","25.8","","185.3","30.2","16.1","31.7","5.7","","52.9","7.6","47.6","","29.7","10.5","24","Tot. Weight"
"207","","4.3","4.2","","11.3","4.2","4.2","11.2","4.2","","11.2","4.3","11.1","","4.2","4.3","4.3","Bag Weight"
"210","","5.6","8","40.7","220.8","7.1","450.2","46.9","12.6","4.7","9.8","","36.8","10.2","","6.1","66.7","Tot. Weight"
"211","","4.2","4.3","11.2","49.7","4.3","49.6","11.2","4.3","4.3","4.3","","11.2","4.3","","4.3","11.2","Bag Weight"
"221","","4.8","","31.5","7.1","4.4","10.7","144.4","36.3","","5.2","5.9","","4.5","","11.2","22.7","Tot. Weight"
"222","","4.3","","11.2","4.3","4.2","4.2","21.4","11.2","","4.3","4.2","","4.3","","4.3","4.2","Bag Weight"
"226","","4.7","4.5","","","4.3","","","181.3","","","","","4.2","","","30.2","Tot. Weight"
"227","","4.3","4.3","","","4.2","","","21.3","","","","","4.2","","","4.2","Bag Weight"
"235","","4.5","","","242.8","60.8","","33.4","","14","","56.2","49.7","33.9","10.3","8.3","0","Tot. Weight"
"236","","4.2","","","21.4","11.2","","4.2","","4.2","","11.3","11.2","11.4","4.3","4.3","0","Bag Weight"
"242","","0","97.8","0","34.9","0","24.6","0","132","0","2.7","0","0","0","8.8","1.3","0","302.1"
"243","","","119.2","","39.2","","35.9","","153.4","","6.9","","","","13.1","5.6","0","Tot. Weight"
"252","","-0.1","0","0","72","885.9","0","-0.1","80","28.7","0.8","44.7","28.3","54.7","55.8","1","38.8","1290.5"
"253","","4.1","0","0","83.3","983.9","0","4.2","91.2","40","5.1","55.8","39.5","66","67.1","5.2","50.1","Tot. Weight"
"260","","60","7.1","11.5","0","2.1","3.8","11.1","5.2","90","328.7","10","117.2","17.5","1.9","4.9","22.7","693.7"
"261","","71.2","11.3","22.7","","6.4","8","15.3","9.5","111.2","377.7","14.3","138.4","21.8","6.1","9.1","26.9","Tot. Weight"
"269","","40.2","41.3","2.8","1.3","11.2","0","0.2","0","103.4","12.8","25.9","5.7","0.3","67.2","11.7","29.3","353.3"
"270","","51.5","52.6","7.1","5.5","22.5","","4.5","","153.2","24.1","47.1","10","4.5","88.6","16","33.5","Tot. Weight"
"277","","114","61.6","3.3","139.8","2.9","0","33","6.7","0","37.2","19.7","25.8","0","32.1","0.8","17","493.9"
"278","","135.4","72.8","7.6","188","7.2","","54.4","10.9","4.2","58.5","23.9","47.1","","53.4","12","21.3","Tot. Weight"
"282","","36.3","3.4","0","71.7","40.6","0","2.5","32.8","0","150.2","9.9","301.8","0","36.6","3.6","94","783.4"
"283","","40.5","7.7","","82.9","51.8","","6.7","37","","171.5","14.1","350.8","","47.9","7.8","105.3","Tot. Weight"
"290","","48.9","0","5.2","12.6","0.6","0","45.5","7.8","0.8","1.1","15.5","81.1","0.2","0.7","0","15.9","235.9"
"291","","60.2","","9.4","16.8","4.8","","56.8","19.1","5.2","5.4","19.8","92.4","4.5","4.9","","20.2","Tot. Weight"
"297","","0","0.7","0","0","0.8","268.7","0.6","0","212","0","0","47.5","0","0","3.9","16","550.2"
"298","","","4.9","","","5","316.9","4.8","","233.4","","","58.6","","","8.1","20.2","Tot. Weight"
"305","","146.2","32.8","0","10.8","42.9","0.4","66.1","10.7","26.5","8.2","16.8","362.3","15.2","0","0.3","6.3","739.2"
"306","","167.4","44.1","","15.1","54.2","4.7","77.3","14.9","30.8","12.5","21.1","410.3","19.5","","4.5","10.5","Tot. Weight"
"327","MH.1825752.rep2","VERSTR","LILMIC","ALLCAN","CXBLAN","ASCSYR","RATPIN","DALCAN","SPOHET","BAPBRA","VERGIG","GENAND","AMOCAN","SENHEB","BOUCUR","SOLNEM","GL","Total B"
"328","","0.7","0","0","24.6","0","132.1","0.1","0","0.2","22.1","1","1.3","1","5.3","34.5","0","222.9"
"333","LL.653844.rep2","AGANEP","DALPUR","HELHEL","VIOPDF","ASCTUB","SOLNEM","OENPIL","RUDHIR","BLECIL","ASCSUL","CXGRAV","BAPBRA","ASCHIR","AGASCR","PYCVIR","GL","Total B"
"334","","539","0","12.8","0","1.1","12.1","17.5","1.2","0","6.4","9.4","0.5","0","0.3","94.8","61.8","756.9"
"338","ML.1623993.rep2","SYMLAE","POTARU","PENHIR","SENMAR","SYMSER","DSMILL","TEUCAN","DESILL","RUDSUB","MONFIS","BAPALB","KOEMAC","PHLPIL","POLBIC","ASCSYR","GL","Total B"
"339","","0.5","20.9","18.4","0","0.7","0","22.5","0","213.2","309.2","0.8","47","0","0","0","45.4","678.6"
"345","MH.1666090.rep2","ALLCAN","PYCVIR","ARNPLA","POLREP","DSMILL","ANDGER","LESCAP","ROSSET","ROSBLA","ROSCAR","HEURIC","SILLAC","AGATEN","BOUCUR","ERASPE","GL","Total B"
"346","","0","71.7","0","-0.2","0","3.9","0.1","94.7","0","207.7","15.8","14","0","9.6","2.8","37.4","457.5"
"351","HH.1018148.rep2","ASCHIR","VIOPDF","CASCOC","CHAFAS","ERYYUC","SISANG","ALLCAN","SPOHET","SILLAC","HEURIC","BROKAL","ANECYL","BAPALB","AGATEN","CXBLAN","GL","Total B"
"352","","0","0","0","112.6","14.8","25.8","0.7","28.6","28.3","42.4","0.8","1.1","4.2","0","13.1","58.1","330.5"
"357","HH.1709432.rep2","CEAAME","AGANEP","ROSSET","MAIRAC","TRAOHI","ZIZAPT","VIOPDF","HELHEL","ASCTUB","JUNDUD","ERASPE","THADAS","HELMOL","POLREP","BAPBRA","GL","Total B"
"358","","2.5","84.9","9.2","0","7.1","4.1","0","12.5","0","3.9","1.1","1.5","535.8","3.5","0","10.5","676.6"
"362","HL.275733.rep2","SENHEB","JUNINT","SENMAR","ZIZAPT","BROKAL","VERVIR","ANECAN","OENPIL","MONFIS","CXBICK","SISANG","HYPPUN","POTARU","BAPALB","ROSCAR","GL","Total B"
"363","","0","0.5","0","12.7","3.3","4.1","18.5","0","156.4","1.8","19.1","0","3.5","0","70.8","19.5","310.2"
